institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",DIRECCIÓN DE ADMINISTRACIÓN,4,23,2009-02-11 00:00:00,2009-03-06 00:00:00,10,19.6,"TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00) | IMPORTADORA ASSECH SA DE CV (IAS0902137V4, 2009-02-13 00:00:00) | DISTRIBUIDORA GUDIÑO SA DE CV (DGU0902263R3, 2009-02-26 00:00:00) | ARQUINA SA DE CV (ARQ090306KT6, 2009-03-06 00:00:00)"
"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""","DIRECCION DE ADMINISTRACION, SUBDIRECCION DE SERVICIOS GENERALES",3,23,1999-01-19 00:00:00,1999-02-11 00:00:00,7,19.3,"NATURGY SERVICIOS SA DE CV (GNS990119518, 1999-01-19 00:00:00) | RADIACIONES Y EQUIPOS DE MEXICO SA DE CV (REM9902025Z1, 1999-02-02 00:00:00) | CONECTIVIDAD EXPERTA CON TECNOLOGIA AVANZADA SA DE CV (CET990211P35, 1999-02-11 00:00:00)"
COMISION NACIONAL FORESTAL,"GERENCIA DE RECURSOS MATERIALES, UNIDAD DE ADMINISTRACION Y FINANZAS",5,30,2012-01-25 00:00:00,2012-02-24 00:00:00,7,18.8,"INDALJIM SA DE CV (IND120125992, 2012-01-25 00:00:00) | GRUPO INDUSTRIAL ASAD SA DE CV (GIA120130MA8, 2012-01-30 00:00:00) | PAN - AMERICAN MEXICO, COMPAÑIA DE SEGUROS SA DE CV (PGA1202133Q2, 2012-02-13 00:00:00) | VANUME S DE RL DE CV (VAN120217V12, 2012-02-17 00:00:00) | UNIDAD ESPECIALIZADA CONTRA INCENDIOS BRIGADA 249 SA DE CV (UEC12022467A, 2012-02-24 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO DELEGACION QUERETARO,5,20,2012-04-19 00:00:00,2012-05-09 00:00:00,9,18.5,"FARMACIAS MAGISTRALES SA DE CV (FMA1204194R5, 2012-04-19 00:00:00) | SERVICIO INTEGRAL FARMALOGISTICO SA DE CV (SIF1204243E9, 2012-04-24 00:00:00) | PINQMEX SA DE CV (PIN120426RH8, 2012-04-26 00:00:00) | NUEVO COMERCIO FARMACEUTICO SA DE CV (NCF120505P31, 2012-05-05 00:00:00) | MULTIEQUIPOS Y MEDICAMENTOS SA DE CV (MME1205095G0, 2012-05-09 00:00:00)"
OFICIALÍA MAYOR,DIRECCIÓN GENERAL DE RECURSOS MATERIALES,4,30,2013-10-30 00:00:00,2013-11-29 00:00:00,23,18.4,"VERSATILIDAD INTERNACIONAL DE COOPERACIÓN OPORTUNA, S.A. DE C.V. (VIC131030773, 2013-10-30 00:00:00) | ZUNO TECH SA DE CV (ZTE131113MA8, 2013-11-13 00:00:00) | KLIK SOLUCIONES EDUCATIVAS SA DE CV (KSO131122G30, 2013-11-22 00:00:00) | COMERCIALIZADORA Y SERVICIOS CAVIL SA DE CV (CSC131129DTA, 2013-11-29 00:00:00)"
SECRETARIA DE BIENESTAR,DIRECCION GENERAL DE RECURSOS MATERIALES,4,15,2017-01-16 00:00:00,2017-01-31 00:00:00,6,18.3,"SBM REVE SA DE CV (SRE1701165EA, 2017-01-16 00:00:00) | SOLUCIONES EMPRESARIALES DALI SA DE CV (SED170119NP7, 2017-01-19 00:00:00) | TWURST SA DE CV (TWU170130IS4, 2017-01-30 00:00:00) | LIMPIEZA JORED SA DE CV (LJO170131LX6, 2017-01-31 00:00:00)"
INSTITUTO NACIONAL DE ESTADISTICA Y GEOGRAFIA,DIRECCION GENERAL DE ADMINISTRACION,3,13,1998-01-13 00:00:00,1998-01-26 00:00:00,5,17.6,"AUTOCOM NOVA S A P I DE CV (ACQ980113CL5, 1998-01-13 00:00:00) | PROVEEDORA PAPELERA KINO SA DE CV (PPK9801205Z2, 1998-01-20 00:00:00) | INFORMATICA Y OFICINAS SA DE CV (IOF980126CP2, 1998-01-26 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"UMAE HOSPITAL DE ESPECIALIDADES NO. 1 CMN BAJIO, DEPARTAMENTO DE ABASTECIMIENTO",4,22,2008-06-18 00:00:00,2008-07-10 00:00:00,15,17.5,"SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV (SHD080618IA7, 2008-06-18 00:00:00) | ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | CANAPHARMA SA DE CV (CAN080701DN6, 2008-07-01 00:00:00) | SERVICIOS BIOMEDICOS BAZAFI SA DE CV (SBB080710QN0, 2008-07-10 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACIÓN DE ABASTECIMIENTO Y EQUIPAMIENTO,6,30,2006-05-16 00:00:00,2006-06-15 00:00:00,13,17.1,"SERVICIO E INTEGRACION BIOMEDICA DE MEXICO SA DE CV (SIB060516LH1, 2006-05-16 00:00:00) | SELECTO MEDICA SA DE CV (SME0605228I8, 2006-05-22 00:00:00) | SERVICIOS PALO VERDES SA DE CV (SPV060524S10, 2006-05-24 00:00:00) | NEXUS HIGHTECH SOLUTIONS SA DE CV (NHS0606099R4, 2006-06-09 00:00:00) | CENTRO DE IMAGENOLOGIA DEL MAYO SC (CIM060615UK2, 2006-06-15 00:00:00) | SUPLIMEX SA DE CV (SUP060615BY8, 2006-06-15 00:00:00)"
ARCHIVO GENERAL DE LA NACION,DIRECCION DE ADMINISTRACION,3,22,2009-05-26 00:00:00,2009-06-17 00:00:00,6,16.8,"GIBAC SUMINISTROS INFORMATICOS Y COMUNICACIONES SA DE CV (GSI090526IW2, 2009-05-26 00:00:00) | LULUCAT CORPORATION MEXICO SA DE CV (LCM090604SY9, 2009-06-04 00:00:00) | GRUPO ROMAY SA DE CV (GRO090617MK7, 2009-06-17 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,UMAE HOSPITAL DE PEDIATRÍA SILVESTRE FRENK FREUND DEL CMN SIGLO XXI,4,22,2004-06-29 00:00:00,2004-07-21 00:00:00,11,16.7,"COMERCIAL VIA MEDICA SA DE CV (CVM0406299P7, 2004-06-29 00:00:00) | KABLA COMERCIAL SA DE CV (KCO040707BB5, 2004-07-07 00:00:00) | NOVO NORDISK MEXICO SA DE CV (NNM040713CM7, 2004-07-13 00:00:00) | ABALAT SA DE CV (ABA040721TS9, 2004-07-21 00:00:00)"
COMISIÓN ESTATAL DEL AGUA,DIRECCIÓN GENERAL DE ADMINISTRACIÓN,3,17,2015-11-20 00:00:00,2015-12-07 00:00:00,3,15.8,"GRUPO JAGEVI SA DE CV (GJA151120CJ5, 2015-11-20 00:00:00) | PROYECTOS Y CONSTRUCCIONES PILCO SA DE CV (PCP151204HRA, 2015-12-04 00:00:00) | PROYECTOS Y CONSTRUCCIONES LAZRRO SA DE CV (PCL151207AL6, 2015-12-07 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPARTAMENTO DE CONSTRUCCION Y PLANEACION INMOBILIARIA DE LA DELEGACION TAMAULIPAS,3,22,2011-03-22 00:00:00,2011-04-13 00:00:00,7,14.9,"CONSERCA SA DE CV (CON110322BR4, 2011-03-22 00:00:00) | HECOVA CONSTRUCCIONES SA DE CV (HCO110407UG4, 2011-04-07 00:00:00) | GUIEGSA CONSTRUCCIONES SA DE CV (GCO1104138W7, 2011-04-13 00:00:00)"
COMISION NACIONAL DEL AGUA,SUBDIRECCION GENERAL DE ADMINISTRACION,3,29,1999-03-15 00:00:00,1999-04-13 00:00:00,4,14.4,"DESTINO ALTA TECNOLOGIA SA DE CV (DAT990315UB6, 1999-03-15 00:00:00) | AEROSOLUCIONES INTERNACIONALES SA DE CV (AIN990408CU6, 1999-04-08 00:00:00) | DISTRIBUCIONES Y PROYECTOS SA DE CV (DPR9904135Q8, 1999-04-13 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,SUBDIRECCION DE RECURSOS MATERIALES,4,25,2009-01-30 00:00:00,2009-02-24 00:00:00,7,14.2,"QUIMICA KEICEL SA DE CV (QKE0901308S2, 2009-01-30 00:00:00) | COMERCIALIZADORA EJECUTIVA MONTER SA DE CV (CEM0902033Q8, 2009-02-03 00:00:00) | TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00) | ACG COMUNICACIONES UNIFICADAS SA DE CV (ACU090224541, 2009-02-24 00:00:00)"
INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,3,18,1993-01-25 00:00:00,1993-02-12 00:00:00,142,14.2,"A F H CONSULTORES Y ASOCIADOS SC (AFH9301258P2, 1993-01-25 00:00:00) | OBRAS Y SERVICIOS INTEGRADOS SA DE CV (OSI930210NK7, 1993-02-10 00:00:00) | LOGOS SA DE CV (LOG930212J76, 1993-02-12 00:00:00)"
SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,SUBDELEGACIÓN ADMINISTRATIVA,4,26,2017-02-15 00:00:00,2017-03-13 00:00:00,23,13.8,"MANUFACTURAS SERKA CONTINENTALES SA DE CV (MSC170215V20, 2017-02-15 00:00:00) | MAGNOCOM SA DE CV (MAG170216BCA, 2017-02-16 00:00:00) | SOLUCIONES INTEGRALES ELYM S DE RL DE CV (SIE170222NV2, 2017-02-22 00:00:00) | LOENSI S DE RL DE CV (LOE170313367, 2017-03-13 00:00:00)"
"SECRETARIA DE AGRICULTURA, GANADERÍA, RECURSOS HIDRÁULICOS, PESCA Y ACUACULTURA","DIRECCIÓN GENERAL DE COSTOS, CONCURSOS Y CONTRATOS",3,24,2010-12-14 00:00:00,2011-01-07 00:00:00,3,13.8,"GM SUPERPAVE SA DE CV (GSU1012147E8, 2010-12-14 00:00:00) | CONSTRUCTORA SASNEG SA DE CV (CSA1012209SA, 2010-12-20 00:00:00) | FARCO PERFORACIONES Y BOMBEO SA DE CV (FPB110107QG0, 2011-01-07 00:00:00)"
INSTITUTO PARA LA PROTECCION AL AHORRO BANCARIO,DIRECCIÓN GENERAL ADJUNTA DE ADMINISTRACIÓN,3,25,1997-11-10 00:00:00,1997-12-05 00:00:00,6,13.6,"GRUPO MEXICANO DE SEGUROS SA DE CV (GMS971110BTA, 1997-11-10 00:00:00) | SEGUROS BANORTE SA DE CV GRUPO FINANCIERO BANORTE (SBG971124PL2, 1997-11-24 00:00:00) | GOBIERNO DE LA CIUDAD DE MEXICO (GDF9712054NA, 1997-12-05 00:00:00)"
COMISION NACIONAL DEL AGUA,"ORGANISMO DE CUENCA GOLFO CENTRO, DIRECCION DE ADMINISTRACION",3,13,2017-02-14 00:00:00,2017-02-27 00:00:00,6,13.6,"CONSTRUCTORA ACETECH SA DE CV (CAC170214DF1, 2017-02-14 00:00:00) | SOLUCIONES INTEGRALES ELYM S DE RL DE CV (SIE170222NV2, 2017-02-22 00:00:00) | VIVID ARCH CORPORATIVO SA DE CV (VAC170227LB3, 2017-02-27 00:00:00)"
HOSPITAL JUÁREZ DE MÉXICO,DIRECCION DE ADMINISTRACION,9,30,2008-06-02 00:00:00,2008-07-02 00:00:00,28,13.3,"SCIENTY MED SA DE CV (SME080602M1A, 2008-06-02 00:00:00) | KEDRION MEXICANA SA DE CV (KME080606LS5, 2008-06-06 00:00:00) | GRUPO FERRETERIA CALZADA SA DE CV (GFC080612KG3, 2008-06-12 00:00:00) | SERVICIOS EMPRESARIALES BLANROJ SA DE CV (SEB080617NDA, 2008-06-17 00:00:00) | SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV (SHD080618IA7, 2008-06-18 00:00:00) | ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | DESARROLLO DE EQUIPOS ELECTROMEDICOS SA DE CV (DDE080625LW9, 2008-06-25 00:00:00) | ENRE MEDICAL SERVICE SA DE CV (EMS0806273F6, 2008-06-27 00:00:00) | FARMACEUTICA ALTHOS SA DE CV (FAL080702S73, 2008-07-02 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,UMAE HOSPITAL DE ESPECIALIDADES NO. 2 DEL CMN LUIS DONALDO MURRIETA,5,22,2008-06-18 00:00:00,2008-07-10 00:00:00,58,12.8,"SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV (SHD080618IA7, 2008-06-18 00:00:00) | ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | BIOMA FARMACEUTICA SA DE CV (BFA080627KN0, 2008-06-27 00:00:00) | CANAPHARMA SA DE CV (CAN080701DN6, 2008-07-01 00:00:00) | SERVICIOS BIOMEDICOS BAZAFI SA DE CV (SBB080710QN0, 2008-07-10 00:00:00)"
COMISION NACIONAL DE SEGUROS Y FIANZAS,DEPARTAMENTO DE SUMINISTROS,3,30,2009-02-11 00:00:00,2009-03-13 00:00:00,8,12.0,"TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00) | FIREWALL SEGURIDAD PRIVADA SA DE CV (FSP090305KV0, 2009-03-05 00:00:00) | INMOBILIARIA GARCIZA SA DE CV (IGA090313U47, 2009-03-13 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA TAPACHULA ABASTO,3,1,1984-06-25 00:00:00,1984-06-26 00:00:00,38,12.0,"LA ITALIANA SA DE CV (ITA840625SP5, 1984-06-25 00:00:00) | GALLETERA ITALIANA SA DE CV (GIT8406265M4, 1984-06-26 00:00:00) | MOLINO HARINERO SAN BLAS SA DE CV (MHS840626BI9, 1984-06-26 00:00:00)"
COMISIÓN DEL AGUA DEL ESTADO DE DURANGO,SUBDIRECCIÓN DE ADMINISTRACIÓN Y FINANZAS,4,25,2008-03-01 00:00:00,2008-03-26 00:00:00,4,11.9,"TERRACERIAS Y PAVIMENTOS VAL SA DE CV (TPV080301QI0, 2008-03-01 00:00:00) | SISTEMAS DE CONSTRUCCION HIDRAULICA SA DE CV (SCH080311L53, 2008-03-11 00:00:00) | TANQUES Y ALMACENAMIENTOS ESPECIALIZADOS SA DE CV (TAE080311H26, 2008-03-11 00:00:00) | LINEAS Y REDES HIDRAULICAS SA DE CV (LRH080326RC6, 2008-03-26 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"UMAE, HOSPITAL DE ESPECIALIDADES, C.M.N. SIGLO XXI",5,20,2008-06-11 00:00:00,2008-07-01 00:00:00,16,11.9,"FARMACOS Y RECURSOS MATERIALES ESPECIALIZADOS SA DE CV (FRM080611MC9, 2008-06-11 00:00:00) | SIEMENS HEALTHCARE DIAGNOSTICS S DE RL DE CV (SHD080618IA7, 2008-06-18 00:00:00) | ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | BIOMA FARMACEUTICA SA DE CV (BFA080627KN0, 2008-06-27 00:00:00) | CANAPHARMA SA DE CV (CAN080701DN6, 2008-07-01 00:00:00)"
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,"SUBGERENCIA TÉCNICA, UNIDAD REGIONAL SALTILLO",3,21,2008-01-11 00:00:00,2008-02-01 00:00:00,3,11.4,"LORDANELI CONSULTORIA E INGENIERIA SA DE CV (LCI080111149, 2008-01-11 00:00:00) | SISTEMAS AVANZADOS EN INGENIERIA CIVIL SA DE CV (SAI080124685, 2008-01-24 00:00:00) | CONSTRUCTORA GESMA SA DE CV (CGE080201A13, 2008-02-01 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO DELEGACION REGIONAL ESTADO DE MEXICO ORIENTE,6,30,2012-10-09 00:00:00,2012-11-08 00:00:00,10,10.9,"DHB BIOMED CONSULTANT GROUP SA DE CV (DBC121009H47, 2012-10-09 00:00:00) | MEDICAMENTOS Y SERVICIOS INTEGRALES DEL NOROESTE SA DE CV (MSI121009CF8, 2012-10-09 00:00:00) | SODEIME INGENIERIA MEDICA SA DE CV (SIM121022UN5, 2012-10-22 00:00:00) | ADMINISTRADORA DE EQUIPOS MEDICOS SA DE CV (AEM121023UL2, 2012-10-23 00:00:00) | FARMACEUTICA DAAM  SA DE CV (CCA1211064K8, 2012-11-06 00:00:00) | WALA SERVICIOS MEXICO SA DE CV (CSB121108TR6, 2012-11-08 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,"HOSPITAL REGIONAL GRAL. IGNACIO ZARAGOZA, COORDINACION DE RECURSOS MATERIALES",3,13,2008-06-19 00:00:00,2008-07-02 00:00:00,12,10.7,"ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | CANAPHARMA SA DE CV (CAN080701DN6, 2008-07-01 00:00:00) | FARMACEUTICA ALTHOS SA DE CV (FAL080702S73, 2008-07-02 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",DIRECCIÓN GENERAL DEL CENTRO SCT HIDALGO,3,21,2003-12-24 00:00:00,2004-01-14 00:00:00,3,10.5,"GESTION Y ASESORIA JURIDICO AMBIENTAL SC (GAJ031224UJ4, 2003-12-24 00:00:00) | BIOTA CORPORATIVO AMBIENTAL SA DE CV (BCA040113G68, 2004-01-13 00:00:00) | PERSA CONSTRUCCIONES SA DE CV (PCO040114IP2, 2004-01-14 00:00:00)"
SECRETARÍA DE SALUD,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE LA MUJER,3,8,2016-12-22 00:00:00,2016-12-30 00:00:00,10,10.4,"ABIA PROMOTORA DE SOLUCIONES SA DE CV (APS161222QD8, 2016-12-22 00:00:00) | ARBRE INSUMOS ESPECIALIZADOS SA DE CV (AIE1612264N4, 2016-12-26 00:00:00) | INNOVARE DEL PACIFICO SA DE CV (IPA161230FE7, 2016-12-30 00:00:00)"
SECRETARÍA DE SALUD,SUBDIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,17,2015-09-30 00:00:00,2015-10-17 00:00:00,5,10.2,"COSTA SUPPLIER DE MEXICO S DE RL (CSM150930U19, 2015-09-30 00:00:00) | COMERCIALIZADORA CARONTE SA DE CV (CCA151013GS9, 2015-10-13 00:00:00) | GESCO SERVICIOS EMPRESARIALES S DE RL DE CV (GSE151017BB0, 2015-10-17 00:00:00)"
SECRETARIA DE CULTURA,DIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,29,2005-05-18 00:00:00,2005-06-16 00:00:00,3,10.0,"GCQ CONSTRUCCIONES SA DE CV (QCO050518LZ1, 2005-05-18 00:00:00) | ABRECO CONSTRUCCIONES SA DE CV (ACO050601BB4, 2005-06-01 00:00:00) | VF INGENIERIA SA DE CV (VIN0506162Y0, 2005-06-16 00:00:00)"
INSTITUTO NACIONAL DE SALUD PÚBLICA,DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,3,21,1989-07-11 00:00:00,1989-08-01 00:00:00,7,9.6,"COMUNICACIONES EN SISTEMAS DIGITALES SA DE CV (CSD8907117X6, 1989-07-11 00:00:00) | INAVIC SA DE CV (INA890731LM2, 1989-07-31 00:00:00) | EFECTIVALE S DE RL DE CV (EFE8908015L3, 1989-08-01 00:00:00)"
INSTITUTO NACIONAL DE BELLAS ARTES Y LITERATURA,DIRECCION DE RECURSOS MATERIALES,5,28,2015-01-22 00:00:00,2015-02-19 00:00:00,11,9.5,"GRUPO ERGIRA SA DE CV (GER150122U2A, 2015-01-22 00:00:00) | CUARTETO ORISHAS AC (COR1501303H5, 2015-01-30 00:00:00) | EET ESTUDIO ARQUITECTURA \+ URBANISMO SA DE CV (EEA150204N90, 2015-02-04 00:00:00) | PROYECCION PARA LA CULTURA Y LA MUSICA SC (PCM150209UM7, 2015-02-09 00:00:00) | ALTERNATIVA CREATIVA 360 SA DE CV (ACT150219FK1, 2015-02-19 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DBNT,3,20,2014-03-25 00:00:00,2014-04-14 00:00:00,3,9.3,"CALZADO LEED DE MEXICO SA DE CV (CLM140325QVA, 2014-03-25 00:00:00) | LINK-INC ADMINISTRACION SA DE CV (LAD140402433, 2014-04-02 00:00:00) | GRUPO ARGIAR S DE RL DE CV (GAR140414K44, 2014-04-14 00:00:00)"
"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, S.A. DE C.V.",DIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,24,2006-04-04 00:00:00,2006-04-28 00:00:00,4,9.3,"WWPL MEXICO SA DE CV (WME060404C97, 2006-04-04 00:00:00) | TEC SOLUCIONES SA DE CV (TSO060406Q24, 2006-04-06 00:00:00) | ""GRUPO TEXTIL PUBLITEXT"" S DE RL DE CV (GTP060428ACA, 2006-04-28 00:00:00)"
"EXPORTADORA DE SAL, S.A. DE C.V.",GERENCIA DE ADQUISICIONES Y ALMACENES,4,30,1993-01-19 00:00:00,1993-02-18 00:00:00,5,9.0,"MEXICANA DE LUBRICANTES SA DE CV (MLU930119RN5, 1993-01-19 00:00:00) | LAVADORES TECNICOS SA DE CV (LTE930130C93, 1993-01-30 00:00:00) | SALIP, LABORATORIO INDUSTRIAL Y DE CONTROL S DE RL DE CV (SLI930202557, 1993-02-02 00:00:00) | METTLER TOLEDO SA DE CV (MTO930218QSA, 1993-02-18 00:00:00)"
SERVICIO POSTAL MEXICANO,SUBDIRECCIÓN DE RECURSOS MATERIALES,3,27,1996-11-12 00:00:00,1996-12-09 00:00:00,8,9.0,"PROMEX EXTINTORES SA DE CV (PEX961112RA5, 1996-11-12 00:00:00) | PROYECTOS INSTALACIONES Y MANTENIMIENTO ELECTROMECANICO SA DE CV (PIM961128EU8, 1996-11-28 00:00:00) | CONTROL DE ACCESOS SA DE CV (CAC9612099Y8, 1996-12-09 00:00:00)"
SECRETARIA DE TURISMO,DIRECCION GENERAL DE ADMINISTRACION,3,27,2004-02-12 00:00:00,2004-03-10 00:00:00,4,8.8,"SERVICIOS DE ANUNCIOS PUBLICITARIOS SA DE CV (SAP0402128Y3, 2004-02-12 00:00:00) | SEMALYN SA DE CV (SEM040213PHA, 2004-02-13 00:00:00) | PERGOM SA DE CV (PER0403101SA, 2004-03-10 00:00:00)"
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA","DEPARTAMENTO DE ADQUISICIONES, SUBDIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES",3,26,2006-02-02 00:00:00,2006-02-28 00:00:00,9,8.8,"HYPSO OCEANOGRAFIA INTEGRAL SC (HOI0602028A2, 2006-02-02 00:00:00) | SERVICIO Y CONSULTORIA ESPECIALIZADOS DEL CARMEN SA DE CV (SCE060224281, 2006-02-24 00:00:00) | PROVEEDORA INDUSTRIAL LEONESA SA DE CV (PIL0602282C9, 2006-02-28 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA DE UNIDAD OPERATIVA TAPACHULA,3,1,1984-06-25 00:00:00,1984-06-26 00:00:00,34,8.8,"LA ITALIANA SA DE CV (ITA840625SP5, 1984-06-25 00:00:00) | GALLETERA ITALIANA SA DE CV (GIT8406265M4, 1984-06-26 00:00:00) | MOLINO HARINERO SAN BLAS SA DE CV (MHS840626BI9, 1984-06-26 00:00:00)"
INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSÍO VILLEGAS,DEPARTAMENTO DE ADQUISICIONES,5,10,2004-01-12 00:00:00,2004-01-22 00:00:00,19,8.8,"MEDIGROUP DEL PACIFICO SA DE CV (MPA040112AH8, 2004-01-12 00:00:00) | GRUPO VEROMO SA DE CV (GVE040114I33, 2004-01-14 00:00:00) | ADVENTECH LOGISTICA SA DE CV (ALO040120HG8, 2004-01-20 00:00:00) | INGENIERIA PAILERIA Y SERVICIOS INDUSTRIALES ISHE SA DE CV (IPS040121S66, 2004-01-21 00:00:00) | UNIFORMES IMPERIO DEL SURESTE S DE RL DE CV (UIS040122NLA, 2004-01-22 00:00:00)"
OFICIALÍA MAYOR DE GOBIERNO,DIRECCIÓN DE LICITACIONES CONTRATOS Y PRECIOS UNITARIOS,3,30,2019-02-02 00:00:00,2019-03-04 00:00:00,3,8.7,"INMOBILIARIA Y CONSTRUCTORA BERLET SA DE CV (ICB190202E4A, 2019-02-02 00:00:00) | URBANIZACION Y CAMINOS REMCO S DE RL DE CV (UCR1903042T6, 2019-03-04 00:00:00) | UPSALA INGENIERIA Y PROYECTOS SA DE CV (UIP190304KS7, 2019-03-04 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"DEPARTAMENTO DE CONSTRUCCION Y PLANEACION INMOBILIARIA, ÓOAD REGIONAL VERACRUZ SUR",3,27,2023-10-03 00:00:00,2023-10-30 00:00:00,5,8.4,"SKYLIGHT CONTRACTORS SAS DE CV (SCO2310034W3, 2023-10-03 00:00:00) | CRISMA PROYECTOS INTEGRALES SAS DE CV (CPI231006ED0, 2023-10-06 00:00:00) | BIMF MANAGEMENT MEXICO SAS DE CV (BMM2310309W0, 2023-10-30 00:00:00)"
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA,"SECRETARIA DE ADMINISTRACION, DIRECCION DE INFRAESTRUCTURA Y ADQUISICIONES",4,13,2016-02-23 00:00:00,2016-03-07 00:00:00,5,8.3,"JL DESAZOLVES MEXICANOS SA DE CV (JDM160223PL4, 2016-02-23 00:00:00) | COMERCIALIZADORA DOPAJ SA DE CV (CDO160301U25, 2016-03-01 00:00:00) | E&L CONSULTORIA Y FINANZAS SA DE CV (ECF160301CA1, 2016-03-01 00:00:00) | COMERCIALIZADORA Y SERVICIOS XAJUM SA DE CV (CSX160307D71, 2016-03-07 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,OFICINA DE ADQUISICIONES CHIAPAS,3,19,2018-11-14 00:00:00,2018-12-03 00:00:00,12,8.3,"COMERCIALIZADORA ASERCA SA DE CV (CAS181114UD3, 2018-11-14 00:00:00) | COMERCIALIZADORA DIORE SA DE CV (CDI181114C33, 2018-11-14 00:00:00) | QUIMICA DE CHIAPAS SA DE CV (QCI181203JI6, 2018-12-03 00:00:00)"
INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA MANUEL VELASCO SUÁREZ,SERVICIOS GENERALES,3,29,1999-02-11 00:00:00,1999-03-12 00:00:00,7,8.2,"CONECTIVIDAD EXPERTA CON TECNOLOGIA AVANZADA SA DE CV (CET990211P35, 1999-02-11 00:00:00) | INGENIERIA EN ELEVADORES SA DE CV (IEL990217RN8, 1999-02-17 00:00:00) | SERVICIOS JURIDICOS ALMANZA SC (SJA9903124E2, 1999-03-12 00:00:00)"
